City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Ntungamo,UG,-0.8833,29.65,70.48,55,86,3.98,overcast clouds
317,Lavrentiya,RU,65.5833,-171.0,-28.73,93,28,12.15,scattered clouds
318,Alofi,NU,-19.0595,-169.9187,71.49,100,100,6.91,overcast clouds
319,Hirara,JP,24.8,125.2833,68.92,87,85,13.51,overcast clouds
320,Lazaro Cardenas,MX,17.9583,-102.2,82.69,49,36,6.85,scattered clouds
321,Mehamn,NO,71.0357,27.8492,21.11,89,98,10.25,overcast clouds
322,Saint-Marc,HT,19.1082,-72.6938,81.41,60,12,7.85,few clouds
323,Pucallpa,PE,-8.3791,-74.5539,71.64,100,75,9.22,broken clouds
324,Najran,SA,17.4924,44.1277,61.45,28,3,4.83,clear sky
325,Sayyan,YE,15.1718,44.3244,55.6,41,73,4.41,broken clouds
326,Eureka,US,40.8021,-124.1637,43.41,59,2,2.91,clear sky
327,Rovira,CO,4.2392,-75.24,79.11,75,90,4.76,overcast clouds
328,Saint Anthony,US,45.0205,-93.218,15.91,68,100,6.91,overcast clouds
329,Viedma,AR,-40.8135,-62.9967,83.66,22,0,11.65,clear sky
330,Saint-Georges,GD,12.0564,-61.7485,85.68,66,75,24.16,broken clouds
331,Laguna,US,38.421,-121.4238,64.96,68,0,1.99,clear sky
332,Sisimiut,GL,66.9395,-53.6735,-4.07,91,100,8.55,overcast clouds
333,Adrar,MR,20.5022,-10.0711,77.72,7,78,9.8,broken clouds
334,Kanye,BW,-24.9667,25.3327,75.2,35,75,6.55,broken clouds
335,Gizo,SB,-8.103,156.8419,82.26,79,100,9.48,light rain
336,San Antonio,US,29.4241,-98.4936,60.15,41,0,11.5,clear sky
337,Yar-Sale,RU,66.8333,70.8333,3.47,88,100,15.97,overcast clouds
338,Grindavik,IS,63.8424,-22.4338,32.47,80,75,31.07,snow
339,Sakakah,SA,29.9697,40.2064,56.77,35,0,6.15,clear sky
340,Vila,PT,42.0304,-8.1588,52.68,69,41,5.03,scattered clouds
341,Garca,BR,-22.2106,-49.6561,85.46,62,63,6.2,broken clouds
342,Solnechnyy,RU,50.7214,136.6319,-7.89,97,73,3.22,broken clouds
343,Praia,CV,14.9215,-23.5087,79.34,53,0,16.11,clear sky
344,Fort Saint James,CA,54.4333,-124.25,37.47,77,71,14.09,broken clouds
345,Yanam,IN,16.7333,82.2167,68.32,82,5,2.48,clear sky
